Region name;Region pixels;Region area;Area unit;Object count;Object pixels;Object area;Area unit;Load;;;;;;;;;;;;;;;
Cortex;102294890;409179560.466352;um2;N/A;26423715;105694860;um2;0.258309;;;;;;;;;;;;;;;
Fibretracts;25976118;103904471.568379;um2;N/A;3762381;15049524;um2;0.144840;;;;;;;;;;;;;;;
Hippo;32401265;129605060.613422;um2;N/A;8947121;35788484;um2;0.276135;;;;;;;;;;;;;;;
Olfactory;21431770;85727079.647681;um2;N/A;5362918;21451672;um2;0.250232;;;;;;;;;;;;;;;
Hypothalamus;16609961;66439843.481528;um2;N/A;1424782;5699128;um2;0.085779;;;;;;;;;;;;;;;
Striatum_Pallidum;44823950;179295800.808263;um2;N/A;11178989;44715956;um2;0.249398;;;;;;;;;;;;;;;
Mid_Hind_Medulla;37732013;150928053.861714;um2;N/A;6732888;26931552;um2;0.178440;;;;;;;;;;;;;;;
Thalamus;18593031;74372124.122076;um2;N/A;4072950;16291800;um2;0.219058;;;;;;;;;;;;;;;
Cerebellum;123228;492911.755366;um2;N/A;14133;56532;um2;0.114690;;;;;;;;;;;;;;;
VentricularSystem;2971054;11884214.053371;um2;N/A;695424;2781696;um2;0.234066;;;;;;;;;;;;;;;
